Code,Name,Ticker,Sector
3891,MALAYAN UNITED INDUSTRIES BERHAD,3891.KL,N/A
5014,MALAYSIA AIRPORTS HOLDINGS BERHAD,5014.KL,N/A
1171,MALAYSIA BUILDING SOCIETY BERHAD,1171.KL,N/A
5186,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD,5186.KL,N/A
6548,MALAYSIA PACIFIC CORPORATION BERHAD,6548.KL,N/A
5916,MALAYSIA SMELTING CORPORATION BERHAD,5916.KL,N/A
5098,MALAYSIA STEEL WORKS (KL) BHD,5098.KL,N/A
5077,MALAYSIAN BULK CARRIERS BERHAD,5077.KL,N/A
3867,MALAYSIAN PACIFIC INDUSTRIES BERHAD,3867.KL,N/A
1651,MALAYSIAN RESOURCES CORPORATION BERHAD,1651.KL,N/A
4936,MALPAC HOLDINGS BERHAD,4936.KL,N/A
6181,MALTON BERHAD,6181.KL,N/A
1058,MANULIFE HOLDINGS BERHAD,1058.KL,N/A
